DataTime           	dB(A)	16	20	25	31.5	40	50	63	80	100	125	160	200	250	315	400	500	630	800	1000	1250	1600	2000	2500	3150	4000	5000	6300	8000	10000	12500	16000	20000
2025/01/22 20:41:12	81.4	-13.2	-8.4	-3.6	-2.6	-0.3	3.6	12.2	17.9	38.6	39.3	50.2	63.0	69.6	72.0	63.2	75.4	80.1	69.7	61.8	70.8	82.2	68.2	66.6	66.3	69.0	71.1	71.2	78.2	68.0	46.1	31.7	29.1
2025/01/22 20:41:13	80.2	-11.1	-6.7	0.2	-1.2	-1.6	3.0	16.8	18.6	39.8	55.6	55.5	62.5	68.4	73.5	58.4	75.4	75.9	68.2	69.3	75.7	78.4	74.8	73.9	77.8	78.7	79.7	83.3	92.0	80.8	65.4	47.0	28.4
2025/01/22 20:41:14	89.7	-7.6	-6.4	-5.1	-6.0	-3.2	2.0	9.0	32.7	35.4	37.2	58.4	55.8	62.8	75.1	80.1	68.7	80.4	77.0	74.4	82.1	76.5	78.0	73.8	72.0	70.8	73.1	73.8	81.0	70.8	51.1	33.0	30.5
2025/01/22 20:41:15	84.4	-11.5	-8.6	-1.6	-3.5	-1.7	3.4	10.5	26.1	33.7	28.8	54.9	62.6	71.4	69.6	76.6	71.4	72.9	72.9	69.0	70.2	74.2	74.1	67.9	70.8	73.7	73.7	74.4	81.3	70.8	49.7	35.2	31.6
2025/01/22 20:41:16	90.1	-4.5	-2.4	4.4	-1.4	-0.5	2.4	18.1	27.4	42.7	49.1	57.1	65.8	69.6	70.8	82.2	72.2	72.8	81.1	67.0	84.5	81.5	79.2	79.8	73.3	72.0	71.1	72.9	78.9	69.2	48.9	33.1	32.0
2025/01/22 20:41:17	100.5	-8.5	-7.2	-0.7	-1.7	-2.0	4.8	12.5	18.1	42.8	44.0	47.8	63.3	70.4	70.1	71.7	76.3	71.7	78.2	72.8	77.4	77.4	78.1	75.3	76.9	78.8	79.5	80.4	90.7	81.3	66.6	47.0	31.0
2025/01/22 20:41:18	88.2	-8.7	-5.9	1.1	2.5	-2.1	0.9	15.6	26.3	43.5	41.8	51.1	65.6	73.8	68.7	77.4	75.8	69.9	80.4	72.3	80.6	84.6	76.8	77.4	67.7	69.3	70.8	73.1	81.3	71.2	52.4	35.5	27.6
2025/01/22 20:41:19	82.2	-13.1	-7.2	4.2	5.5	-2.2	4.4	13.0	17.6	43.6	38.6	54.0	66.3	65.8	69.1	67.4	86.4	74.1	68.9	71.8	70.3	74.8	68.8	68.2	71.0	70.5	72.4	73.1	82.3	70.7	54.5	30.0	27.3
2025/01/22 20:41:20	92.6	6.8	9.7	17.5	15.1	10.5	13.2	18.8	22.6	44.7	48.2	55.6	65.7	69.7	69.9	81.0	75.3	75.1	78.9	70.1	81.5	79.1	79.1	80.3	76.1	75.8	74.5	75.9	83.2	71.7	50.8	30.5	27.8
2025/01/22 20:41:21	86.4	-9.9	-2.6	5.9	5.2	-4.3	4.8	16.0	18.8	33.1	51.8	53.1	61.4	68.4	74.4	77.8	78.6	80.7	76.9	68.7	80.5	83.3	71.9	71.7	69.8	70.4	71.7	71.9	78.9	69.3	47.9	31.3	31.1
2025/01/22 20:41:22	91.9	-15.8	-7.1	3.3	4.3	0.0	6.2	17.9	31.7	31.8	46.1	57.2	58.1	63.8	68.3	66.3	87.6	73.3	69.4	77.3	74.6	76.3	79.4	77.4	78.4	79.1	78.9	82.4	91.4	81.4	66.6	48.6	28.9
2025/01/22 20:41:23	88.4	-13.0	-7.3	5.3	6.4	-1.8	3.9	11.8	32.1	36.5	36.5	60.6	60.2	63.8	71.0	79.7	85.3	71.1	75.1	75.9	78.3	74.7	76.9	78.9	71.6	70.8	70.7	71.6	78.7	67.8	46.9	29.5	27.7
